1920-05-22	一九二零 庚申[猴]年 四月小初五	周六	无	无	无	庚申 辛巳 庚辰 辛巳	无	芒种 (6, 6)	猴	双子座	祭祀、入宅、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、安葬、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、取鱼、宣政事、安抚边境、修饰垣墙、上册、塞穴、修宫室、整手足甲、疗目、祈福
1920-05-23	一九二零 庚申[猴]年 四月小初六	周日	无	无	世界读书日	庚申 辛巳 辛巳 癸巳	无	芒种 (6, 6)	猴	双子座	祭祀、宴会、上官、进人口、经络、纳财、牧养、庆赐、临政、搬移、裁制、颁诏、恤孤茕、纳畜、招贤、举正直、覃恩、雪冤、施恩、宣政事、立券交易	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、整容、筑堤防、补垣、取鱼、修饰垣墙、整手足甲、开仓
1920-05-24	一九二零 庚申[猴]年 四月小初七	周一	无	无	无	庚申 辛巳 壬午 乙巳	无	芒种 (6, 6)	猴	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、庆赐、恤孤茕、整容、布政事、覃恩、雪冤、整手足甲	结婚姻、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、开市、立券、纳财、修置产室、开渠、穿井、栽种、牧养、开张、搬移、开仓、纳采、修仓库、乘船渡水、纳畜、招贤、筑堤防、求嗣、营建、缮城郭、取鱼、上册、苫盖、修宫室、立券交易
1920-05-25	一九二零 庚申[猴]年 四月小初八	周二	无	释迦牟尼佛诞	无	庚申 辛巳 癸未 丁巳	无	芒种 (6, 6)	猴	双子座	覃恩、恤孤茕、雪冤、布政事	祭祀、出行、结婚姻、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、补垣、临政、搬移、纳采、鼓铸、颁诏、解除、乘船渡水、纳畜、出师、招贤、整容、选将、筑堤防、举正直、酝酿、营建、施恩、安抚边境、宣政事、修饰垣墙、取鱼、远回、整手足甲
1920-05-26	一九二零 庚申[猴]年 四月小初九	周三	无	无	无	庚申 辛巳 甲申 己巳	无	芒种 (6, 6)	猴	双子座	祭祀、沐浴、扫舍宇、平治道涂	出行、安床、修造、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、启攒、庆赐、补垣、搬移、裁制、纳采、修仓库、鼓铸、颁诏、乘船渡水、出师、招贤、布政事、选将、筑堤防、举正直、针刺、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、塞穴、修宫室
1920-05-27	一九二零 庚申[猴]年 四月小初十	周四	无	无	上海解放日	庚申 辛巳 乙酉 辛巳	无	芒种 (6, 6)	猴	双子座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、临政、搬移、裁制、赴任、颁诏、恤孤茕、入宅、纳畜、招贤、整容、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、宣政事、修宫室、整手足甲、祈福	宴会、修置产室、畋猎、取鱼、苫盖、开仓
1920-05-28	一九二零 庚申[猴]年 四月小十一	周五	无	无	无	庚申 辛巳 丙戌 癸巳	无	芒种 (6, 6)	猴	双子座	祭祀、宴会、沐浴、剃头、上表章、捕捉、庆赐、裁制、颁诏、恤孤茕、招贤、整容、覃恩、举正直、求嗣、雪冤、施恩、宣政事、上册、整手足甲、祈福	冠带、修置产室、畋猎、破土、启攒、筑堤防、取鱼、修宫室、开仓
1920-05-29	一九二零 庚申[猴]年 四月小十二	周六	无	无	无	庚申 辛巳 丁亥 乙巳	无	芒种 (6, 6)	猴	双子座	沐浴、破屋坏垣	祭祀、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、招贤、整容、布政事、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、修饰垣墙、宣政事、取鱼、上册、塞穴、整手足甲、修宫室、祈福
1920-05-30	一九二零 庚申[猴]年 四月小十三	周日	无	无	无	庚申 辛巳 戊子 丁巳	无	芒种 (6, 6)	猴	双子座	祭祀、宴会、沐浴、庆赐、裁制	上表章、冠带、修置产室、安葬、招贤、筑堤防、修仓库、营建、上册、纳畜
1920-05-31	一九二零 庚申[猴]年 四月小十四	周一	无	纯阳祖师诞	世界无烟日	庚申 辛巳 己丑 己巳	无	芒种 (6, 6)	猴	双子座	祭祀、结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、庆赐、临政、裁制、开仓、纳采、解除、纳畜、举正直、酝酿、求嗣、施恩、上册、立券交易、祈福	冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、营建、选将、补垣、取鱼、修饰垣墙、远回、乘船渡水、出师
