1964-01-22	一九六三 癸卯[兔]年 腊月小初八	周三	无	腊八节-释迦如来成佛之辰	无	癸卯 乙丑 庚午 辛巳	无	立春 (2, 5)	兔	水瓶座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、捕捉、畋猎、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、出师、诉讼	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、启攒、酝酿、乘船渡水、开仓、筑堤防、补垣、修宫室、修饰垣墙、苫盖、立券交易、取鱼
1964-01-23	一九六三 癸卯[兔]年 腊月小初九	周四	无	无	无	癸卯 乙丑 辛未 癸巳	无	立春 (2, 5)	兔	水瓶座	解除	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、安葬、启攒、纳畜、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、修饰垣墙、塞穴、招贤、出师
1964-01-24	一九六三 癸卯[兔]年 腊月小初十	周五	无	无	无	癸卯 乙丑 壬申 乙巳	无	立春 (2, 5)	兔	水瓶座	祭祀、沐浴、剃头、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、安葬、纳畜、整手足甲、酝酿、开仓、整容、安抚边境、选将	结婚姻、宴会、修造、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、纳采、修仓库、求嗣、庆赐、筑堤防、营建、补垣、修宫室、修饰垣墙、缮城郭
1964-01-25	一九六三 癸卯[兔]年 腊月小十一	周六	无	无	无	癸卯 乙丑 癸酉 丁巳	无	立春 (2, 5)	兔	水瓶座	沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、举正直、整手足甲、临政、解除、赴任、上册、酝酿、裁制、入宅、整容、施恩	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、营建、选将、出师、修饰垣墙、苫盖
1964-01-26	一九六三 癸卯[兔]年 腊月小十二	周日	无	无	国际海关日	癸卯 乙丑 甲戌 己巳	无	立春 (2, 5)	兔	水瓶座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、乘船渡水、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼
1964-01-27	一九六三 癸卯[兔]年 腊月小十三	周一	无	无	无	癸卯 乙丑 乙亥 辛巳	无	立春 (2, 5)	兔	水瓶座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳畜、纳采、临政、恤孤茕、修仓库、求嗣、解除、上册、裁制、庆赐、开仓、覃恩、安抚边境、营建、选将、修宫室、雪冤、搬移、祈福、缮城郭、出师	嫁娶、剃头、冠带、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、鼓铸、整手足甲、布政事、整容、筑堤防、补垣、修饰垣墙、塞穴、远回、取鱼
1964-01-28	一九六三 癸卯[兔]年 腊月小十四	周二	无	无	无	癸卯 乙丑 丙子 癸巳	无	立春 (2, 5)	兔	水瓶座	祭祀、沐浴、经络、安葬、酝酿、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、颁诏、乘船渡水、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、远回、出师、疗目
1964-01-29	一九六三 癸卯[兔]年 腊月小十五	周三	无	无	无	癸卯 乙丑 丁丑 乙巳	无	立春 (2, 5)	兔	水瓶座	宴会、经络、纳财、纳畜、举正直、酝酿、裁制、庆赐、施恩、立券交易	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、颁诏、开仓、整容、筑堤防、营建、补垣、宣政事、搬移、修饰垣墙、祈福、取鱼
1964-01-30	一九六三 癸卯[兔]年 腊月小十六	周四	无	南岳大帝诞	无	癸卯 乙丑 戊寅 丁巳	无	立春 (2, 5)	兔	水瓶座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、破土、纳采、整手足甲、临政、求嗣、解除、裁制、庆赐、开仓、入宅、整容、安抚边境、选将、修宫室、搬移、祈福、缮城郭、立券交易、出师	祭祀、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、安葬、启攒、鼓铸、布政事、修仓库、上册、颁诏、筑堤防、营建、补垣、宣政事、修饰垣墙、塞穴、招贤
1964-01-31	一九六三 癸卯[兔]年 腊月小十七	周五	无	无	无	癸卯 乙丑 己卯 己巳	无	立春 (2, 5)	兔	水瓶座	恤孤茕、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
