1966-03-22 10:00:00	一九六六 丙午[马]年 三月大初一	星期二	世、界、水、日、二、殿、楚、江、王、诞	丙午 辛卯 庚辰 辛巳	无	清明 (4, 5)	马	白羊座	出行、沐浴、剃头、扫舍宇、施恩、解除、整容、布政事、举正直、覃恩、恤孤茕、雪冤、临政	宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、修置产室、畋猎、牧养、破土、安葬、启攒、开仓、纳畜、选将、出师、修仓库、祈福、上册、整手足甲、纳采、求嗣、立券交易、酝酿、安抚边境、庆赐
1966-03-23 10:00:00	一九六六 丙午[马]年 三月大初二	星期三	世、界、气、象、日	丙午 辛卯 辛巳 癸巳	无	清明 (4, 5)	马	白羊座	宴会、竖柱上梁、经络、开市、纳财、赴任、布政事、祈福、入宅、覃恩、恤孤茕、立券交易、塞穴、裁制、庆赐、雪冤	祭祀、出行、结婚姻、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、破土、启攒、营建、纳畜、招贤、施恩、选将、颁诏、修饰垣墙、出师、取鱼、宣政事、举正直、筑堤防、安抚边境
1966-03-24 10:00:00	一九六六 丙午[马]年 三月大初三	星期四	世、界、防、治、结、核、病、日、三、月、三、-、玄、天、上、帝、诞	丙午 辛卯 壬午 乙巳	无	清明 (4, 5)	马	白羊座	祭祀、平治道涂、修饰垣墙、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、苫盖、解除、颁诏、出师、布政事、修仓库、祈福、缮城郭、鼓铸、上册、纳采、求嗣、宣政事、举正直、筑堤防、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、临政、修宫室
1966-03-25 10:00:00	一九六六 丙午[马]年 三月大初四	星期五	无	丙午 辛卯 癸未 丁巳	无	清明 (4, 5)	马	白羊座	祭祀、结婚姻、宴会、嫁娶、冠带、进人口、竖柱上梁、经络、纳畜、布政事、祈福、纳采、求嗣、覃恩、恤孤茕、酝酿、裁制、庆赐、雪冤	求医疗病、上表章、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、营建、开仓、选将、解除、针刺、修饰垣墙、出师、补垣、上册、筑堤防、安抚边境
1966-03-26 10:00:00	一九六六 丙午[马]年 三月大初五	星期六	无	丙午 辛卯 甲申 己巳	无	清明 (4, 5)	马	白羊座	祭祀、沐浴、扫舍宇、捕捉、覃恩、恤孤茕、雪冤	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、开仓、修饰垣墙、布政事、补垣、鼓铸、乘船渡水、筑堤防、立券交易、塞穴、酝酿、修宫室
1966-03-27 10:00:00	一九六六 丙午[马]年 三月大初六	星期日	无	丙午 辛卯 乙酉 辛巳	无	清明 (4, 5)	马	白羊座	诸事不宜	诸事不宜
1966-03-28 10:00:00	一九六六 丙午[马]年 三月大初七	星期一	无	丙午 辛卯 丙戌 癸巳	无	清明 (4, 5)	马	白羊座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上官、进人口、竖柱上梁、经络、纳财、栽种、牧养、安葬、赴任、纳畜、开仓、选将、解除、祈福、缮城郭、入宅、取鱼、纳采、求嗣、立券交易、酝酿、诉讼、裁制、搬移、安抚边境、庆赐、临政、修宫室	剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、营建、招贤、颁诏、整容、修饰垣墙、出师、修仓库、布政事、补垣、鼓铸、上册、整手足甲、宣政事、筑堤防、塞穴
1966-03-29 10:00:00	一九六六 丙午[马]年 三月大初八	星期二	六、殿、卞、城、王、诞	丙午 辛卯 丁亥 乙巳	无	清明 (4, 5)	马	白羊座	祭祀、出行、结婚姻、宴会、沐浴、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、开仓、纳畜、施恩、解除、修仓库、缮城郭、祈福、上册、纳采、求嗣、举正直、筑堤防、立券交易、酝酿、裁制、搬移、庆赐、临政、修宫室	嫁娶、剃头、破土、安葬、启攒、整容
1966-03-30 10:00:00	一九六六 丙午[马]年 三月大初九	星期三	无	丙午 辛卯 戊子 丁巳	无	清明 (4, 5)	马	白羊座	诸事不宜	诸事不宜
1966-03-31 10:00:00	一九六六 丙午[马]年 三月大初十	星期四	无	丙午 辛卯 己丑 己巳	无	清明 (4, 5)	马	白羊座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、修置产室、开渠、穿井、安碓硙、牧养、营建、纳畜、招贤、施恩、解除、颁诏、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、裁制、搬移、庆赐、雪冤、临政	冠带、伐木、畋猎、乘船渡水、开仓、补垣、塞穴、取鱼、鼓铸
