1958-08-22	一九五八 戊戌[狗]年 七月小初八	周五	无	无	邓小平诞辰纪念日	戊戌 庚申 辛未 癸巳	无	处暑 (8, 23)	狗	狮子座	诸事不宜	诸事不宜
1958-08-23	一九五八 戊戌[狗]年 七月小初九	周六	无	无	无	戊戌 庚申 壬申 乙巳	处暑	白露 (9, 8)	狗	处女座	祭祀、出行、嫁娶、沐浴、上官、进人口、经络、纳财、扫舍宇、牧养、临政、搬移、裁制、颁诏、恤孤茕、纳畜、招贤、选将、举正直、覃恩、酝酿、雪冤、施恩、安抚边境、宣政事	修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、启攒、筑堤防、补垣、取鱼、修饰垣墙
1958-08-24	一九五八 戊戌[狗]年 七月小初十	周日	无	无	无	戊戌 庚申 癸酉 丁巳	无	白露 (9, 8)	狗	处女座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、安葬、临政、搬移、裁制、开仓、纳采、修仓库、赴任、颁诏、解除、入宅、恤孤茕、出师、纳畜、招贤、整容、选将、布政事、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、上册、整手足甲、修宫室、祈福	宴会、冠带、修置产室、捕捉、畋猎、筑堤防、取鱼、补垣、鼓铸、塞穴、乘船渡水
1958-08-25	一九五八 戊戌[狗]年 七月小十一	周一	无	无	无	戊戌 庚申 甲戌 己巳	无	白露 (9, 8)	狗	处女座	宴会、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、修仓库、赴任、纳畜、缮城郭、塞穴、上册、修宫室、诉讼	祭祀、结婚姻、嫁娶、上官、招贤、举正直、施恩、取鱼、乘船渡水、纳采
1958-08-26	一九五八 戊戌[狗]年 七月小十二	周二	无	无	无	戊戌 庚申 乙亥 辛巳	无	白露 (9, 8)	狗	处女座	祭祀、沐浴、平治道涂、修饰垣墙	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、祈福
1958-08-27	一九五八 戊戌[狗]年 七月小十三	周三	无	长真谭真人诞-大势至菩萨诞	无	戊戌 庚申 丙子 癸巳	无	白露 (9, 8)	狗	处女座	祭祀、出行、宴会、沐浴、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、庆赐、临政、搬移、裁制、纳采、纳畜、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、祈福	修置产室、安抚边境、出师、选将
1958-08-28	一九五八 戊戌[狗]年 七月小十四	周四	无	无	无	戊戌 庚申 丁丑 乙巳	无	白露 (9, 8)	狗	处女座	祭祀、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、安葬、庆赐、临政、裁制、纳采、修仓库、颁诏、解除、恤孤茕、纳畜、出师、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、祈福	剃头、冠带、畋猎、整容、取鱼、远回、乘船渡水
1958-08-29	一九五八 戊戌[狗]年 七月小十五	周五	无	中元节	无	戊戌 庚申 戊寅 丁巳	无	白露 (9, 8)	狗	处女座	沐浴、恤孤茕、入宅、覃恩、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
1958-08-30	一九五八 戊戌[狗]年 七月小十六	周六	无	无	无	戊戌 庚申 己卯 己巳	无	白露 (9, 8)	狗	处女座	祭祀、宴会、庆赐、布政事、覃恩、恤孤茕、雪冤	出行、结婚姻、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、补垣、临政、搬移、开仓、纳采、修仓库、解除、纳畜、出师、招贤、筑堤防、选将、举正直、求嗣、营建、缮城郭、施恩、安抚边境、修饰垣墙、上册、修宫室、立券交易、祈福
1958-08-31	一九五八 戊戌[狗]年 七月小十七	周日	无	无	无	戊戌 庚申 庚辰 辛巳	无	白露 (9, 8)	狗	处女座	祭祀、入学、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、祈福
